日期,主队,客队,主队主力,客队主力,主队队员,客队队员,主队得分,客队得分,主队疲劳,客队疲劳
2019-10-09,开拓者,掘金,['达米安-利拉德' '罗德尼-胡德' '肯特-贝兹莫尔' '安东尼-托利弗' '杰伦-赫尔德' '特洛伊-科佩恩'],"['加里-哈里斯' '梅森-普拉姆利' '胡安-埃尔南戈麦斯' '贾里德-范德比尔特' '泰勒-泽勒' 'PJ-多齐尔' '弗拉特科-钱查尔'
 '泰勒-库克']","['达米安-利拉德' 'CJ-麦科勒姆' '扎克-科林斯' '罗德尼-胡德' '哈桑-怀特塞德' '安芬尼-西蒙斯' '马里奥-海佐尼亚'
 '肯特-贝兹莫尔' '斯卡尔-拉比西埃' '安东尼-托利弗' '纳西尔-利特尔' '杰伦-赫尔德' 'Moses Brown' '特洛伊-科佩恩']","['贾马尔-默里' '加里-哈里斯' '保罗-米尔萨普' '威尔-巴顿' '梅森-普拉姆利' '杰拉米-格兰特' '马利克-比斯利'
 '蒙特-莫里斯' '小迈克尔-波特' '胡安-埃尔南戈麦斯' '贾里德-范德比尔特' '泰勒-泽勒' 'PJ-多齐尔' '弗拉特科-钱查尔'
 '泰勒-库克']",94.0,105.0,0,0
2019-10-09,热火,马刺,['邓肯-罗宾逊' '迈耶斯-伦纳德' '戈兰-德拉季奇' '迪昂-韦特斯' '肯德里克-纳恩' 'KZ-奥克帕拉'],"['雅各布-珀尔特尔' '德里克-怀特' '马科-贝里内利' '德马雷-卡罗尔' '朗尼-沃克' 'Dedric Lawson'
 '奎因达里-韦瑟斯庞' '德鲁-尤班克斯' '凯尔登-约翰逊']","['贾斯蒂斯-温斯洛' '吉米-巴特勒' '巴姆-阿德巴约' '邓肯-罗宾逊' '迈耶斯-伦纳德' '小德里克-琼斯' '泰勒-希罗'
 '戈兰-德拉季奇' '迪昂-韦特斯' '克里斯-席尔瓦' '肯德里克-纳恩' 'KZ-奥克帕拉']","['德章泰-默里' '布林-福布斯' '拉马库斯-阿尔德里奇' '德马尔-德罗赞' '雅各布-珀尔特尔' '鲁迪-盖伊' '德里克-怀特'
 '帕蒂-米尔斯' '马科-贝里内利' '德马雷-卡罗尔' '朗尼-沃克' 'Dedric Lawson' '奎因达里-韦瑟斯庞'
 '德鲁-尤班克斯' '凯尔登-约翰逊']",107.0,89.0,0,0
2019-10-09,雷霆,独行侠,"['克里斯-保罗' '哈米杜-迪亚洛' '阿卜杜勒-纳迪尔' '德翁特-伯顿' '纳伦斯-诺埃尔' '迈克-穆斯卡拉' '贾斯廷-巴顿'
 '吕冈茨-多尔特']",['小蒂姆-哈达威' '德朗-赖特' '多里安-芬尼-史密斯' '瑞安-布罗科夫' '以赛亚-罗比' '塞思-库里' '埃里克-霍尔曼'],"['丹尼斯-施罗德' '克里斯-保罗' '谢伊-吉尔杰斯-亚历山大' '达尼罗-加里纳利' '史蒂文-亚当斯' '哈米杜-迪亚洛'
 '达里厄斯-贝兹利' '特伦斯-弗格森' '阿卜杜勒-纳迪尔' '德翁特-伯顿' '纳伦斯-诺埃尔' '迈克-穆斯卡拉' '贾斯廷-巴顿'
 '吕冈茨-多尔特']","['小蒂姆-哈达威' '德朗-赖特' '贾斯廷-杰克逊' '多里安-芬尼-史密斯' '马克西-克勒贝尔' '约什-里夫斯' '瑞安-布罗科夫'
 'Dakota Mathias' '安东尼斯-克利夫兰' '考特尼-李' '以赛亚-罗比' '马场雄大' '杰伦-布伦森' '博班-马里亚诺维奇'
 '塞思-库里' '埃里克-霍尔曼']",119.0,104.0,0,0
2019-10-10,公牛,鹈鹕,['托马什-萨托兰斯基' '克里斯蒂亚诺-费利西奥' '克里斯-邓恩' '赛迪斯-杨' '卢克-科内特' '里安-阿尔奇迪亚科诺'],['朗佐-鲍尔' '德里克-费沃斯' '约什-哈特' '伊托万-摩尔' '肯里奇-威廉姆斯' '尼科勒-梅利' 'JJ-雷迪克'],"['扎克-拉文' '托马什-萨托兰斯基' '劳里-马尔卡宁' '奥托-波特' '克里斯蒂亚诺-费利西奥' '科比-怀特' '克里斯-邓恩'
 '赛迪斯-杨' '登泽尔-瓦伦丁' '卢克-科内特' '丹尼尔-加福德' '里安-阿尔奇迪亚科诺']","['朱-霍勒迪' '朗佐-鲍尔' '蔡恩-威廉森' '布兰登-英格拉姆' '德里克-费沃斯' '弗兰克-杰克逊' '尼基尔-亚历山大-沃克'
 '约什-哈特' '贾利尔-奥卡福' '伊托万-摩尔' '肯里奇-威廉姆斯' '尼科勒-梅利' 'JJ-雷迪克']",125.0,127.0,0,0
2019-10-10,活塞,独行侠,['布鲁斯-布朗' '兰斯顿-加洛韦' '马基夫-莫里斯' '索恩-梅克' '凯里-托马斯'],"['德朗-赖特' '贾斯廷-杰克逊' '马克西-克勒贝尔' '多里安-芬尼-史密斯' '塞思-库里' '博班-马里亚诺维奇' '约什-里夫斯'
 '以赛亚-罗比' '埃里克-霍尔曼']","['雷吉-杰克逊' '布鲁斯-布朗' '布雷克-格里芬' '托尼-斯内尔' '安德烈-德拉蒙德' '卢克-肯纳德' '德里克-罗斯'
 '兰斯顿-加洛韦' '马基夫-莫里斯' '索恩-梅克' '克里斯蒂安-伍德' '凯里-托马斯']","['卢卡-东契奇' '德朗-赖特' '贾斯廷-杰克逊' '克里斯塔普斯-波尔津吉斯' '马克西-克勒贝尔' '小蒂姆-哈达威'
 '多里安-芬尼-史密斯' '塞思-库里' '杰伦-布伦森' '博班-马里亚诺维奇' '安东尼斯-克利夫兰' '约什-里夫斯' '以赛亚-罗比'
 '埃里克-霍尔曼']",124.0,117.0,0,1
2019-10-10,老鹰,魔术,"['约翰-科林斯' '卡姆-雷迪什' '达米安-琼斯' '布鲁诺-费尔南多' '文斯-卡特' 'Armoni Brooks'
 'Tahjere McCall']","['迈克尔-卡特-威廉姆斯' 'DJ-奥古斯丁' '艾尔-法鲁克-阿米奴' '马克尔-富尔茨' '梅尔文-弗雷泽' '肯-伯奇' '阿米尔-杰弗森'
 'BJ-约翰逊']","['特雷-杨' '德安德烈-本布里' '约翰-科林斯' '卡姆-雷迪什' '亚历克斯-莱恩' '德安德烈-亨特' '贾巴里-帕克' '达米安-琼斯'
 '布鲁诺-费尔南多' '文斯-卡特' 'Charlie Brown' 'Armoni Brooks' 'Tahjere McCall']","['迈克尔-卡特-威廉姆斯' 'DJ-奥古斯丁' '乔纳森-艾萨克' '阿龙-戈登' '尼古拉-武切维奇' '艾尔-法鲁克-阿米奴'
 '特伦斯-罗斯' '马克尔-富尔茨' '梅尔文-弗雷泽' '穆罕默德-班巴' '肯-伯奇' '阿米尔-杰弗森' 'BJ-约翰逊']",88.0,97.0,0,0
2019-10-10,雄鹿,爵士,"['韦斯利-马修斯' '埃里克-布莱索' '乔治-希尔' '唐特-迪温琴佐' '萨纳西斯-阿德托昆博' '帕特-康诺顿' '拉洪-塔克'
 '凯尔-科沃尔' '卡姆-雷诺兹' '杰伦-亚当斯']","['迈克-康利' '博扬-波格丹诺维奇' '埃德-戴维斯' '罗伊斯-奥尼尔' '乔治-尼昂' '米耶-奥尼' '斯坦顿-基德'
 '贾雷尔-布兰特利' 'Juwan Morgan' '贾斯廷-赖特-福尔曼']","['韦斯利-马修斯' '埃里克-布莱索' '扬尼斯-阿德托昆博' '克里斯-米德尔顿' '布鲁克-洛佩斯' '乔治-希尔' '唐特-迪温琴佐'
 '萨纳西斯-阿德托昆博' '德拉甘-本德尔' '帕特-康诺顿' '弗兰克-梅森' '罗宾-洛佩斯' '拉洪-塔克' '凯尔-科沃尔'
 '卡姆-雷诺兹' '杰伦-亚当斯']","['多诺万-米切尔' '迈克-康利' '杰夫-格林' '博扬-波格丹诺维奇' '埃德-戴维斯' '托尼-布拉德利' '罗伊斯-奥尼尔'
 '尼格尔-威廉姆斯-戈斯' '乔治-尼昂' '米耶-奥尼' '威廉-霍华德' '斯坦顿-基德' '贾雷尔-布兰特利' 'Juwan Morgan'
 '贾斯廷-赖特-福尔曼']",133.0,99.0,0,0
2019-10-10,黄蜂,热火,"['迈尔斯-布里奇斯' '科迪-泽勒' '马文-威廉姆斯' '约什-佩尔金斯' '迈克尔-基德-吉尔克里斯特' '吉列尔莫-埃尔南戈麦斯'
 '乔-奇利']",['肯德里克-纳恩' '邓肯-罗宾逊' '迈耶斯-伦纳德' '达里尔-梅肯' 'KZ-奥克帕拉' '迈克尔-穆尔德'],"['特里-罗齐尔' '德维恩-培根' '迈尔斯-布里奇斯' '科迪-泽勒' '德文特-格雷厄姆' 'PJ-华盛顿' '凯莱布-马丁'
 '马利克-蒙克' '马文-威廉姆斯' '约什-佩尔金斯' '迈克尔-基德-吉尔克里斯特' '吉列尔莫-埃尔南戈麦斯' '乔-奇利']","['肯德里克-纳恩' '泰勒-希罗' '邓肯-罗宾逊' '迈耶斯-伦纳德' '巴姆-阿德巴约' '小德里克-琼斯' '达里尔-梅肯' '达文-里德'
 '迪昂-韦特斯' 'KZ-奥克帕拉' '克里斯-席尔瓦' '迈克尔-穆尔德']",94.0,108.0,0,1
2019-10-11,勇士,森林狼,"['德雷蒙德-格林' '格伦-罗宾逊三世' '马基斯-克里斯' '奥马里-斯佩尔曼' '雅各布-埃文斯' '阿方索-麦金尼' '达米恩-李'
 'Juan Toscano-Anderson' '安德鲁-哈里森']",['杰夫-蒂格' '罗伯特-科温顿' '特雷韦恩-格雷厄姆' '沙巴兹-内皮尔' '约什-奥科吉' '凯塔-贝茨-迪奥普' '诺阿-冯莱'],"['斯蒂芬-库里' '丹吉洛-拉塞尔' '德雷蒙德-格林' '格伦-罗宾逊三世' '马基斯-克里斯' '乔丹-普尔' '埃里克-帕斯卡尔'
 '奥马里-斯佩尔曼' '雅各布-埃文斯' '阿方索-麦金尼' '达米恩-李' 'Juan Toscano-Anderson' '安德鲁-哈里森']","['安德鲁-威金斯' '杰夫-蒂格' '罗伯特-科温顿' '特雷韦恩-格雷厄姆' '卡尔-安东尼-唐斯' '贾勒特-卡尔弗' '沙巴兹-内皮尔'
 '约什-奥科吉' '杰克-莱曼' '纳兹-里德' '凯塔-贝茨-迪奥普' '诺阿-冯莱']",143.0,123.0,0,0
2019-10-11,国王,太阳,['哈里森-巴恩斯' '德维恩-戴德蒙' '特雷沃-阿里扎' '约吉-费雷尔' '埃里克-米卡' '贾斯廷-詹姆斯'],"['里基-卢比奥' '达里奥-沙里奇' '卡梅伦-约翰逊' '弗兰克-卡明斯基' '阿隆-贝恩斯' '凯利-乌布雷' '米卡尔-布里奇斯'
 '泰-杰罗姆' '杰伦-勒丘']","['达龙-福克斯' '巴迪-希尔德' '哈里森-巴恩斯' '马文-巴格利' '德维恩-戴德蒙' '波格丹-波格丹诺维奇' '特雷沃-阿里扎'
 '里乔恩-霍姆斯' '约吉-费雷尔' '埃里克-米卡' '贾斯廷-詹姆斯']","['德文-布克' '里基-卢比奥' '达里奥-沙里奇' '卡梅伦-约翰逊' '德安德烈-艾顿' '杰文-卡特' '弗兰克-卡明斯基'
 '阿隆-贝恩斯' '凯利-乌布雷' '米卡尔-布里奇斯' '泰-杰罗姆' '杰伦-勒丘']",105.0,88.0,0,0
2019-10-11,快船,掘金,"['兰德里-沙梅特' '科怀-伦纳德' '特伦斯-曼' '杰罗姆-罗宾逊' '德里克-沃顿' '小詹姆斯-帕尔默' '詹姆斯-帕默'
 '帕特里克-帕特森' '阿米尔-科菲']",['加里-哈里斯' '威尔-巴顿' '胡安-埃尔南戈麦斯' '梅森-普拉姆利' '贾里德-范德比尔特' 'PJ-多齐尔'],"['兰德里-沙梅特' '路易斯-威廉姆斯' '杰迈克尔-格林' '科怀-伦纳德' '蒙特雷兹-哈勒尔' '特伦斯-曼' '杰罗姆-罗宾逊'
 '伊维察-祖巴茨' '莫里斯-哈克利斯' '德里克-沃顿' '小詹姆斯-帕尔默' '詹姆斯-帕默' '帕特里克-帕特森' '阿米尔-科菲']","['加里-哈里斯' '贾马尔-默里' '威尔-巴顿' '保罗-米尔萨普' '尼古拉-约基奇' '胡安-埃尔南戈麦斯' '杰拉米-格兰特'
 '马利克-比斯利' '蒙特-莫里斯' '梅森-普拉姆利' '小迈克尔-波特' '贾里德-范德比尔特' 'PJ-多齐尔']",96.0,111.0,0,0
2019-10-12,尼克斯,奇才,['米切尔-罗宾逊' '韦恩-艾灵顿' '弗朗克-尼利基纳'],['伊斯梅尔-史密斯' '伊萨克-邦加' '克里斯-奇奥萨' '贾斯廷-罗宾逊' '杰梅里奥-琼斯' 'Phil Booth'],"['RJ-巴雷特' '马库斯-莫里斯' '朱利叶斯-兰德尔' '米切尔-罗宾逊' '博比-波蒂斯' '韦恩-艾灵顿' '弗朗克-尼利基纳'
 '阿朗佐-特里尔' '泰-吉布森']","['伊斯梅尔-史密斯' '布拉德利-比尔' '莫里茨-瓦格纳' '伊萨克-邦加' '托马斯-布莱恩特' '阿德米拉尔-斯科菲尔德'
 '贾斯廷-安德森' '戴维斯-贝尔坦斯' '乔丹-麦克雷' '克里斯-奇奥萨' '贾斯廷-罗宾逊' '杰梅里奥-琼斯' 'Phil Booth']",92.0,115.5,0,0
2019-10-12,步行者,公牛,['埃德蒙-萨姆纳' 'TJ-麦康奈尔' '贾斯廷-霍勒迪' '道格-麦克德莫特' 'TJ-利夫' '亚卡尔-桑普森'],['克里斯-邓恩' '亚当' '克里斯蒂亚诺-费利西奥' '米尔顿-多伊尔' 'Perrion Callandret'],"['马尔科姆-布罗格登' '杰里米-兰姆' '多曼塔斯-萨博尼斯' 'TJ-沃伦' '迈尔斯-特纳' '埃德蒙-萨姆纳' 'TJ-麦康奈尔'
 '贾斯廷-霍勒迪' '道格-麦克德莫特' 'TJ-利夫' '亚卡尔-桑普森']","['科比-怀特' '克里斯-邓恩' '登泽尔-瓦伦丁' '卢克-科内特' '丹尼尔-加福德' 'Justin Simon' '亚当'
 '里安-阿尔奇迪亚科诺' '克里斯蒂亚诺-费利西奥' '米尔顿-多伊尔' 'Perrion Callandret']",105.0,87.0,0,0
2019-10-12,活塞,骑士,['布鲁斯-布朗' '马基夫-莫里斯' '乔-约翰逊' '兰斯顿-加洛韦' '索恩-梅克' '斯维亚托斯拉夫-米哈伊柳克' '蒂姆-弗雷泽'],['马修-戴拉维多瓦' '凯文-乐福' '贾雷尔-马丁' '布兰登-奈特' '达里厄斯-加兰'],"['布鲁斯-布朗' '雷吉-杰克逊' '马基夫-莫里斯' '安德烈-德拉蒙德' '卢克-肯纳德' '德里克-罗斯' '乔-约翰逊'
 '兰斯顿-加洛韦' '索恩-梅克' '克里斯蒂安-伍德' '斯维亚托斯拉夫-米哈伊柳克' '蒂姆-弗雷泽']","['科林-塞克斯顿' '马修-戴拉维多瓦' '切迪-奥斯曼' '凯文-乐福' '特里斯坦-汤普森' '小拉里-南斯' '乔丹-克拉克森'
 '贾雷尔-马丁' '布兰登-奈特' '小凯文-波特' '达里厄斯-加兰']",109.0,105.0,0,0
2019-10-12,独行侠,雄鹿,"['多里安-芬尼-史密斯' '马克西-克勒贝尔' '博班-马里亚诺维奇' '何塞-巴里亚' '约什-里夫斯' '安东尼斯-克利夫兰'
 '以赛亚-罗比']","['帕特-康诺顿' '乔治-希尔' '克里斯-米德尔顿' '罗宾-洛佩斯' '唐特-迪温琴佐' '斯特林-布朗' '凯尔-科沃尔' '弗兰克-梅森'
 '萨纳西斯-阿德托昆博']","['卢卡-东契奇' '小蒂姆-哈达威' '多里安-芬尼-史密斯' '克里斯塔普斯-波尔津吉斯' '贾斯廷-杰克逊' '马克西-克勒贝尔'
 '博班-马里亚诺维奇' '何塞-巴里亚' '杰伦-布伦森' '约什-里夫斯' '安东尼斯-克利夫兰' '以赛亚-罗比']","['帕特-康诺顿' '乔治-希尔' '扬尼斯-阿德托昆博' '克里斯-米德尔顿' '罗宾-洛佩斯' '唐特-迪温琴佐' '德拉甘-本德尔'
 '斯特林-布朗' '艾森-伊利亚索瓦' '凯尔-科沃尔' '弗兰克-梅森' '萨纳西斯-阿德托昆博']",111.0,118.0,0,0
2019-10-12,魔术,凯尔特人,['DJ-奥古斯丁' '艾尔-法鲁克-阿米奴' '马克尔-富尔茨' '迈克尔-卡特-威廉姆斯' '韦斯利-艾旺杜' '梅尔文-弗雷泽'],['丹尼尔-泰斯' '埃内斯-坎特' '格兰特-威廉姆斯' '谢米-奥杰莱' '罗密欧-兰福德' '特里蒙特-沃特斯'],"['DJ-奥古斯丁' '阿龙-戈登' '乔纳森-艾萨克' '穆罕默德-班巴' '特伦斯-罗斯' '艾尔-法鲁克-阿米奴' '马克尔-富尔茨'
 '迈克尔-卡特-威廉姆斯' '韦斯利-艾旺杜' '梅尔文-弗雷泽']","['杰伦-布朗' '马库斯-斯马特' '戈登-海沃德' '杰森-塔特姆' '丹尼尔-泰斯' '埃内斯-坎特' '卡森-爱德华兹'
 '格兰特-威廉姆斯' '布拉德-沃纳梅克' '谢米-奥杰莱' '罗密欧-兰福德' '特里蒙特-沃特斯' '哈维特-格林']",75.0,100.0,0,0
